Labor inputs by ag tech
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_AfrCstE,FiberCrop_AfrCstE_IRR_lo,Labor_Ag,FiberCrop,4.65926E-4,8.75102E-4,7.23124E-4,8.90375E-4,0.00127393,0.00156245,0.00169393,0.00173195,0.00162359,0.00143935,0.00121316,9.5456E-4,7.0626E-4,5.0052E-4,3.47819E-4,2.40179E-4,1.66702E-4,1.16885E-4,8.36416E-5,6.1303E-5,4.57954E-5,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_AfrCstE,FiberCrop_AfrCstE_RFD_hi,Labor_Ag,FiberCrop,0.00499261,0.00937836,0.00774853,0.00954139,0.0171836,0.0258962,0.0294782,0.0284952,0.0312119,0.0363896,0.0421551,0.0443506,0.0457752,0.0461076,0.0454627,0.0440354,0.0419789,0.0398295,0.0375572,0.0352126,0.0328542,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_AfrCstE,FiberCrop_AfrCstE_RFD_lo,Labor_Ag,FiberCrop,0.00351752,0.00660744,0.00545915,0.00672239,0.00932075,0.0108215,0.0107131,0.0106441,0.00957587,0.00765904,0.00556721,0.00359762,0.00224006,0.00139456,9.0078E-4,6.03063E-4,4.20787E-4,3.02943E-4,2.27024E-4,1.76892E-4,1.40988E-4,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_AfrCstNE,FiberCrop_AfrCstNE_IRR_hi,Labor_Ag,FiberCrop,2.9258E-4,5.49464E-4,4.47692E-4,5.44474E-4,7.83552E-4,9.03893E-4,6.75684E-4,3.92529E-4,3.45385E-4,4.27063E-4,6.30881E-4,9.46982E-4,0.00129549,0.00153436,0.00163997,0.00167394,0.00168728,0.00166443,0.00161621,0.00154271,0.00146004,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_AfrCstNE,FiberCrop_AfrCstNE_IRR_lo,Labor_Ag,FiberCrop,2.17734E-4,4.08819E-4,3.33166E-4,4.05143E-4,6.62487E-4,9.23931E-4,0.00118846,0.00133458,0.00133318,0.00125352,0.00109493,7.77184E-4,4.72751E-4,2.56253E-4,1.32918E-4,6.66817E-5,3.18025E-5,1.55411E-5,7.97847E-6,4.39267E-6,2.5485E-6,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_AfrCstNE,FiberCrop_AfrCstNE_RFD_hi,Labor_Ag,FiberCrop,1.94391E-5,3.65272E-5,2.97504E-5,3.62042E-5,6.67177E-5,9.88678E-5,1.14898E-4,9.5025E-5,8.84799E-5,8.80457E-5,8.76477E-5,9.0688E-5,9.29138E-5,9.28582E-5,9.11157E-5,8.83561E-5,8.50365E-5,8.1395E-5,7.73848E-5,7.27468E-5,6.80138E-5,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_AfrCstNE,FiberCrop_AfrCstNE_RFD_lo,Labor_Ag,FiberCrop,1.36767E-5,2.56537E-5,2.10069E-5,2.54174E-5,3.62419E-5,4.16015E-5,4.10889E-5,3.70245E-5,2.98427E-5,2.18514E-5,1.51538E-5,9.81419E-6,6.15641E-6,3.87952E-6,2.51565E-6,1.67723E-6,1.16494E-6,8.28583E-7,6.09319E-7,4.67195E-7,3.67099E-7,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_AfrIntN,FiberCrop_AfrIntN_RFD_hi,Labor_Ag,FiberCrop,9.62461E-6,1.79302E-5,1.47748E-5,1.82058E-5,3.47483E-5,4.98746E-5,5.44411E-5,4.82231E-5,4.78266E-5,5.01972E-5,5.24821E-5,5.26671E-5,5.23301E-5,5.08483E-5,4.86042E-5,4.56599E-5,4.22503E-5,3.89772E-5,3.58138E-5,3.2756E-5,2.99184E-5,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_AfrIntN,FiberCrop_AfrIntN_RFD_lo,Labor_Ag,FiberCrop,6.80069E-6,1.26327E-5,1.03609E-5,1.27789E-5,1.90782E-5,2.15616E-5,2.08984E-5,1.92542E-5,1.6105E-5,1.21086E-5,8.40922E-6,5.40501E-6,3.38454E-6,2.11905E-6,1.37695E-6,9.23889E-7,6.43601E-7,4.6205E-7,3.44719E-7,2.66648E-7,2.11204E-7,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_CongoR,FiberCrop_CongoR_RFD_hi,Labor_Ag,FiberCrop,5.80934E-4,0.00109124,8.99636E-4,0.00110524,0.00168614,0.00215334,0.00206766,0.00216098,0.00254652,0.00315925,0.00383047,0.0038457,0.00380271,0.00369268,0.00354168,0.00335933,0.00315393,0.00296301,0.0027819,0.00260802,0.00243961,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_CongoR,FiberCrop_CongoR_RFD_lo,Labor_Ag,FiberCrop,4.09314E-4,7.68831E-4,6.33738E-4,7.78642E-4,9.40798E-4,9.58944E-4,8.24283E-4,8.14128E-4,7.21486E-4,5.44372E-4,3.53136E-4,2.01379E-4,1.10643E-4,6.1486E-5,3.60291E-5,2.21588E-5,1.43944E-5,9.74418E-6,6.94874E-6,5.22335E-6,4.04809E-6,mil pers,
"Reference,date=2025-8-6T12:58:44-07:00",Africa_Eastern,FiberCrop_LChad,FiberCrop_LChad_IRR_hi,Labor_Ag,FiberCrop,0.00728615,0.013691,0.0113151,0.0139334,0.0210301,0.024798,0.0205625,0.0143568,0.0136911,0.0159177,0.0196072,0.0241695,0.0285142,0.0314688,0.0329976,0.0332273,0.0324777,0.0313568,0.0299557,0.0283625,0.0266807,mil pers,
